name,RA,inclination,distance in ly
,02h 38m 17.86s,"+37° 43' 36.6""",270
HD 221246,23h 30m 07.39s,"+49° 07' 59.3""",856
OP And,01h 36m 27.21s,"+48° 43' 22.2""",420
,00h 08m 41.02s,"+36° 37' 38.7""",108
,02h 19m 10.84s,"+46° 28' 20.2""",452
,00h 14m 02.29s,"+33° 12' 21.9""",293
HD 895,00h 13m 23.93s,"+26° 59' 15.4""",403
,23h 40m 40.47s,"+36° 43' 14.6""",144
,00h 01m 43.85s,"+42° 22' 01.7""",1331
,01h 54m 53.75s,"+40° 42' 07.9""",345
HD 220105,23h 20m 44.11s,"+44° 06' 58.5""",261
,23h 33m 42.99s,"+45° 03' 29.1""",548
HD 2942,00h 32m 49.09s,"+28° 16' 48.8""",469
,01h 27m 06.21s,"+34° 22' 39.3""",139
,00h 28m 56.67s,"+36° 53' 58.9""",464
,01h 23m 37.31s,"+34° 14' 44.2""",192
,01h 54m 57.63s,"+37° 07' 42.0""",525
,01h 18m 10.14s,"+47° 25' 11.0""",1531
,02h 38m 27.94s,"+38° 05' 21.0""",734
,23h 19m 41.37s,"+48° 22' 51.1""",475
,22h 59m 10.37s,"+52° 39' 16.0""",672
,01h 44m 26.53s,"+46° 08' 23.2""",540
,23h 14m 14.34s,"+50° 37' 04.5""",411
,01h 43m 16.39s,"+45° 19' 21.5""",181
,01h 47m 48.00s,"+46° 13' 47.6""",190
,00h 15m 06.93s,"+31° 32' 08.7""",1320
HD 8673,01h 26m 08.62s,"+34° 34' 47.7""",125
,00h 15m 10.55s,"+27° 17' 00.5""",412
,00h 19m 41.58s,"+40° 43' 46.2""",541
,23h 36m 30.52s,"+32° 54' 15.1""",251
CG And,00h 00m 43.62s,"+45° 15' 12.0""",678
HD 16004,02h 35m 27.89s,"+39° 39' 52.1""",580
,02h 15m 57.69s,"+47° 48' 43.4""",462
LN And,23h 02m 45.15s,"+44° 03' 31.6""",1177
V385 And,23h 24m 08.88s,"+41° 36' 46.3""",1249
