Name,RA,Dec,Dist. (ly)
HD 52611,07h 01m 52.91s,"?01° 20' 44.8""",424
V731 Mon,06h 37m 52.70s,"+04° 57' 24.0""",4803
HD 44037,06h 19m 07.94s,"?08° 35' 09.7""",399
V689 Mon,06h 38m 38.19s,"+01° 36' 48.7""",3396
HD 54662,07h 09m 20.25s,"?10° 20' 47.7""",5821
HD 57708,07h 22m 18.59s,"?02° 58' 45.0""",591
HD 44783,06h 24m 02.29s,"+08° 53' 06.1""",842
HD 59669,07h 30m 51.14s,"?05° 13' 35.3""",8359
HD 51693,06h 58m 38.93s,"+07° 37' 20.5""",238
HD 67159,08h 06m 27.42s,"?09° 14' 40.1""",793
HD 60853,07h 36m 16.67s,"?08° 18' 40.7""",620
HD 50931,06h 55m 34.63s,"+08° 19' 27.4""",335
HD 56614,07h 17m 31.68s,"?06° 40' 48.1""",1689
HD 52265,07h 00m 18.10s,"?05° 22' 02.5""",91
HD 44333,06h 21m 25.78s,"+02° 16' 06.9""",334
HD 50282,06h 52m 22.87s,"?05° 18' 58.5""",477
HD 50371,06h 53m 22.40s,"+10° 59' 49.0""",416
HD 49976,06h 50m 42.31s,"?08° 02' 27.6""",330
HD 51424,06h 57m 00.10s,"?08° 10' 45.4""",913
HD 67725,08h 08m 56.85s,"?11° 20' 22.7""",729
HD 45168,06h 25m 47.14s,"?03° 53' 20.5""",1035
HD 51892,06h 59m 20.18s,"+07° 19' 01.2""",1264
HD 66242,08h 02m 25.97s,"?06° 20' 13.6""",355
HD 45380,06h 26m 44.85s,"?07° 30' 42.9""",409
HD 48099,06h 41m 59.23s,"+06° 20' 43.5""",2750
HD 50062,06h 51m 39.37s,"+03° 02' 31.4""",298
HD 45090,06h 25m 52.33s,"+11° 07' 33.3""",454
HD 47156,06h 37m 36.92s,"+10° 51' 12.1""",883
HD 50700,06h 54m 08.60s,"?05° 51' 07.9""",562
HD 45239,06h 25m 58.83s,"?07° 53' 41.9""",556
HD 66950,08h 05m 49.64s,"?00° 34' 24.0""",712
HD 44700,06h 23m 18.49s,"+03° 45' 52.2""",1098
V695 Mon,08h 00m 44.14s,"?02° 52' 54.9""",3105
HD 45215,06h 26m 09.60s,"?03° 30' 57.1""",536
24 Mon,07h 15m 19.41s,"?00° 09' 40.7""",530
HD 57682,07h 22m 02.05s,"?08° 58' 45.9""",4009
14 Mon,06h 34m 46.33s,"+07° 34' 21.0""",362
HD 53240,07h 03m 57.46s,"?10° 07' 25.6""",1273
HD 65938,08h 01m 03.45s,"?06° 25' 08.7""",217
HD 42132,06h 08m 47.72s,"?06° 49' 17.0""",363
HD 45563,06h 28m 16.77s,"+01° 54' 45.8""",489
HD 52382,07h 00m 39.34s,"?09° 12' 10.7""",2937
9 Mon,06h 27m 00.88s,"?04° 21' 20.3""",1079
V569 Mon,07h 05m 49.64s,"?10° 39' 36.3""",3543
IM Mon,06h 23m 01.47s,"?03° 16' 37.1""",991
HD 50281A,06h 52m 18.05s,"?05° 10' 25.4""",28395
V926 Mon,07h 02m 06.73s,"?03° 45' 17.4""",1920
HD 50138,06h 51m 33.40s,"?06° 57' 59.5""",1280
? Mon B,06h 23m 46.50s,"+04° 35' 45.1""",79
HD 46150,06h 31m 55.52s,"+04° 56' 34.3""",5200
6 Mon,06h 17m 35.13s,"?10° 43' 30.0""",1094
AX Mon,06h 30m 32.94s,"+05° 52' 01.2""",12000
HD 46966,06h 36m 25.89s,"+06° 04' 59.5""",
V Mon,06h 22m 43.50s,"?02° 11' 42.0""",2194
V644 Mon,06h 57m 09.38s,"?10° 49' 28.1""",4900
HD 53367,07h 04m 25.53s,"?10° 27' 15.7""",932
Gliese 282 A,07h 39m 59.33s,"?03° 35' 51.0""",46.33
V505 Mon,06h 45m 49.98s,"+02° 29' 57.4""",2170
V614 Mon,07h 01m 01.95s,"?03° 15' 09.1""",1550
HD 46223,06h 32m 09.31s,"+04° 49' 24.7""",5200
HD 46149,06h 31m 52.53s,"+05° 01' 59.2""",5200
HD 44219,06h 20m 14.32s,"?10° 43' 30.0""",164
HD 46375,06h 33m 12.62s,"+05° 27' 46.5""",109
HD 59435,07h 29m 35.45s,"?09° 15' 33.3""",1210
HD 45583,06h 28m 10.76s,"?04° 53' 56.5""",962
HD 46380,06h 32m 43.23s,"?07° 30' 32.3""",1480
HD 45652,06h 29m 13.19s,"+10° 56' 02.0""",118
HD 46202,06h 32m 10.47s,"+04° 57' 59.8""",5200
HD 66428,08h 03m 28.67s,"?01° 09' 45.8""",180
V753 Mon,07h 10m 57.85s,"?03° 52' 43.2""",605
V723 Mon,06h 29m 04.66s,"?05° 34' 20.2""",1700
SV Mon,06h 21m 26.30s,"+06° 28' 12.6""",
HD 50064,06h 51m 34.11s,"+00° 17' 50.4""",9500
HD 47755,06h 40m 38.30s,"+09° 47' 15.8""",
UX Mon,07h 59m 16.38s,"?07° 30' 17.9""",5500
AU Mon,06h 54m 54.71s,"?01° 22' 32.8""",
HD 47732,06h 40m 28.59s,"+09° 49' 04.3""",2190
V578 Mon,06h 32m 00.61s,"+04° 52' 40.9""",
HD 259431,06h 33m 05.19s,"+10° 19' 20.0""",564
AR Mon,07h 20m 48.45s,"?05° 15' 35.8""",962
Gliese 282 B,07h 40m 02.88s,"?03° 36' 13.4""",46.33
HD 44179,06h 19m 58.22s,"?10° 38' 14.7""",1245
HD 49330,06h 47m 57.27s,"+00° 46' 34.0""",1460
HD 50169,06h 51m 59.23s,"?01° 38' 40.4""",1489
FU Mon,06h 22m 23.85s,"+03° 25' 27.9""",2490
TU Mon,07h 53m 19.75s,"?03° 02' 31.1""",1960
RW Mon,06h 34m 45.89s,"+08° 49' 32.18""",738
VV Mon,07h 03m 18.29s,"?05° 44' 15.5""",434
BX Mon,07h 25m 22.78s,"?03° 35' 15.8""",
PZ Mon,06h 48m 21.07s,"+01° 13' 08.3""",2080
V694 Mon,07h 25m 51.29s,"?07° 44' 08.1""",1550
AO Mon,07h 06m 36.30s,"?04° 37' 24.5""",
V588 Mon,06h 39m 05.90s,"+09° 41' 03.4""",
V372 Mon,06h 41m 26.13s,"?04° 35' 45.8""",
CV Mon,06h 37m 04.84s,"+03° 03' 50.2""",
G 112-29,07h 36m 07.08s,"?03° 06' 38.8""",46.21
HD 50281B,06h 52m 18.05s,"?05° 11' 24.2""",
V589 Mon,06h 39m 28.46s,"+09° 42' 04.1""",
BE Mon,06h 40m 05.58s,"+07° 36' 21.0""",
RU Mon,06h 54m 12.31s,"?07° 35' 45.0""",
CL Mon,06h 55m 36.70s,"+06° 22' 43.3""",
Ross 614,06h 29m 23.40s,"?02° 48' 50.3""",13.4
DD Mon,06h 45m 57.83s,"?00° 07' 31.9""",
A0620-00,06h 22m 44.50s,"?00° 20' 44.7""",
CS Mon,06h 32m 10.94s,"+06° 39' 11.0""",
COROT-7,06h 43m 49.47s,"?01° 03' 46.9""",489
R Mon,06h 39m 09.95s,"+08° 44' 10.8""",
BN Mon,06h 21m 58.00s,"+07° 20' 57.7""",
V396 Mon,06h 38m 36.48s,"+03° 36' 17.1""",
V590 Mon,06h 40m 44.64s,"+09° 48' 02.1""",
COROT-4,06h 48m 46.70s,"?00° 40' 22.0""",
COROT-1,06h 48m 19.17s,"?03° 06' 07.8""",1560
VY Mon,06h 31m 06.92s,"+10° 26' 05.0""",
COROT-5,06h 45m 06.54s,"+00° 48' 54.9""",1300
COROT-20,06h 30m 53s,"+00° 13' 37""",4012
COROT-19,06h 28m 08s,"?00° 01' 01""",2609
COROT-18,06h 32m 41s,"?00° 01' 54""",2838
COROT-13,06h 50m 53.07s,"?05° 05' 11.1""",4270
BT Mon,06h 43m 47.24s,"?02° 01' 13.9""",
COROT-12,06h 43m 03.76s,"?01° 17' 47.1""",3760
V838 Mon,07h 04m 04.85s,"?03° 50' 51.1""",20000
COROT-14,06h 53m 41.80s,"?05° 32' 09.7""",4360
CW Mon,06h 36m 54.58s,"+00° 02' 17.3""",5500
Scholz's Star,07h 20m 03.25s,"?08° 46' 49.9""",19.65
AFGL 961,06h 34m 37.63s,"+04° 12' 42.8""",
Monoceros R2 IRS 3,06h 47m 47.8s,"?06° 22' 55""",
NGC 2264 IRS 1,06h 41m 10.06s,"+09° 29' 35.8""",
UGPS J072227.51-054031.2,07h 22m 27.87s,"?05° 40' 31.1""",13
