Name,RA,Dec,Dist. (ly)
80 G. Eri,03h 18m 41.07s,"?18° 33' 34.7""",119
267 G. Eri,04h 45m 04.15s,"?21° 17' 00.0""",627
91 G. Eri,03h 28m 00.95s,"?11° 17' 11.4""",340
?1 Eri,03h 01m 09.97s,"?07° 39' 46.2""",304
HD 10360,01h 39m 47.24s,"?56° 11' 47.2""",27
HD 10361,01h 39m 47.80s,"?56° 11' 41.0""",27
99 G. Eri,03h 29m 55.19s,"?42° 38' 03.3""",203
DZ Eri,04h 32m 37.54s,"?03° 12' 34.2""",428
59 Eri,04h 48m 32.53s,"?16° 19' 46.5""",135
HD 30562,04h 48m 36.20s,"?05° 40' 24.4""",86
56 Eri,04h 44m 05.32s,"?08° 30' 12.9""",1342
GW Eri,04h 11m 36.18s,"?20° 21' 22.6""",250
291 G. Eri,05h 08m 20.19s,"?08° 39' 55.0""",760
58 G. Eri,03h 02m 55.84s,"?46° 58' 30.2""",821
132 G. Eri,03h 48m 35.72s,"?20° 54' 10.6""",830
216 G. Eri,04h 23m 05.66s,"?24° 53' 31.6""",454
6 Eri,02h 58m 05.69s,"?23° 36' 22.1""",653
53 G. Eri,03h 01m 56.09s,"?09° 57' 41.0""",282
159 G. Eri,03h 58m 52.42s,"?05° 28' 10.3""",142
EM Eri,04h 20m 42.83s,"?07° 35' 33.0""",756
109 G. Eri,03h 38m 29.25s,"?07° 23' 30.2""",390
211 G. Eri,04h 21m 27.05s,"?00° 05' 52.3""",467
287 G. Eri,05h 02m 45.37s,"?04° 12' 36.5""",311
15 G. Eri,02h 22m 54.65s,"?51° 05' 32.2""",200
129 G. Eri,03h 48m 38.92s,"+00° 13' 40.3""",495
71 G. Eri,03h 12m 25.68s,"?44° 25' 10.8""",143
35 G. Eri,02h 53m 35.27s,"?22° 22' 34.0""",304
163 G. Eri,04h 00m 40.62s,"?30° 29' 26.6""",359
202 G. Eri,04h 17m 19.23s,"?06° 28' 19.8""",551
227 G. Eri,04h 28m 39.01s,"?19° 27' 31.0""",323
233 G. Eri,04h 30m 40.33s,"?35° 39' 12.9""",365
21 Eri,03h 39m 01.13s,"?05° 37' 32.5""",115
55 Eri A,04h 43m 34.73s,"?08° 47' 39.3""",405
DO Eri,03h 55m 16.17s,"?12° 05' 56.6""",160
GZ Eri,04h 18m 16.07s,"?20° 42' 55.1""",1045
93 G. Eri,03h 29m 39.19s,"?06° 48' 15.3""",374
HD 17925,02h 52m 31.89s,"?12° 46' 09.3""",34
236 G. Eri,04h 33m 22.09s,"?10° 47' 07.5""",945
64 G. Eri,03h 11m 18.78s,"?03° 48' 41.6""",784
214 G. Eri,04h 21m 31.29s,"?25° 43' 42.4""",177
20 G. Eri,02h 42m 08.44s,"?46° 31' 27.2""",133
205 G. Eri,04h 18m 37.46s,"?22° 58' 11.4""",300
240 G. Eri,04h 34m 14.21s,"?06° 50' 15.8""",513
10 G. Eri,01h 56m 59.66s,"?51° 46' 00.7""",86
7 Eri,03h 00m 50.88s,"?02° 52' 43.1""",782
222 G. Eri,04h 26m 56.93s,"?24° 04' 52.6""",362
256 G. Eri,04h 39m 47.21s,"?01° 03' 08.8""",578
100 G. Eri,03h 30m 13.59s,"?41° 22' 10.3""",111
171 G. Eri,04h 04m 40.89s,"?20° 22' 54.6""",448
247 G. Eri,04h 35m 00.65s,"?19° 55' 17.5""",330
45 G. Eri,02h 58m 47.31s,"?09° 46' 35.3""",293
14 Eri,03h 16m 35.77s,"?09° 09' 16.9""",111
EK Eri,04h 20m 38.59s,"?06° 14' 45.1""",206
281 G. Eri,04h 57m 44.69s,"?14° 13' 54.8""",994
74 G. Eri,03h 16m 00.85s,"?05° 55' 07.3""",616
Gliese 86,02h 10m 25.93s,"?50° 49' 25.4""",36
DL Eri,03h 56m 37.90s,"?09° 45' 03.1""",346
EX Eri,04h 46m 25.75s,"?28° 05' 15.0""",187
113 G. Eri,03h 39m 25.42s,"?10° 26' 13.3""",376
54 G. Eri,03h 02m 09.23s,"?06° 29' 39.1""",106
86 G. Eri,03h 23m 17.70s,"?07° 47' 36.8""",120
133 G. Eri,03h 47m 49.60s,"?36° 06' 21.0""",529
147 G. Eri,03h 53m 12.93s,"?18° 26' 04.0""",698
112 G. Eri,03h 39m 38.35s,"?03° 23' 34.2""",335
229 G. Eri,04h 30m 09.99s,"?13° 35' 32.5""",432
HR 1614,05h 00m 48.68s,"?05° 45' 03.5""",29
67 G. Eri,03h 11m 16.74s,"?16° 01' 29.8""",539
104 G. Eri,03h 34m 37.46s,"?09° 52' 05.8""",518
232 G. Eri,04h 31m 25.86s,"?13° 38' 38.8""",400
172 G. Eri,04h 05m 56.49s,"?08° 51' 21.9""",266
272 G. Eri,04h 49m 42.32s,"?13° 46' 09.3""",115
253 G. Eri,04h 36m 50.94s,"?30° 43' 00.5""",394
59 G. Eri,03h 05m 11.26s,"?08° 16' 27.5""",425
75 G. Eri,03h 16m 21.71s,"?05° 43' 49.5""",1055
33 G. Eri,02h 52m 50.67s,"?09° 26' 28.8""",328
89 G. Eri,03h 26m 11.77s,"?41° 38' 13.2""",441
173 G. Eri,04h 05m 46.73s,"?20° 30' 45.1""",311
248 G. Eri,04h 36m 01.67s,"?03° 36' 41.8""",874
21 G. Eri,02h 43m 20.22s,"?40° 31' 40.6""",548
114 G. Eri,03h 40m 11.44s,"?15° 13' 35.4""",644
31 G. Eri,02h 50m 47.77s,"?39° 55' 55.9""",325
66 G. Eri,03h 11m 05.27s,"?13° 15' 51.5""",1032
168 G. Eri,04h 04m 08.65s,"?16° 35' 18.9""",453
207 G. Eri,04h 19m 02.89s,"?33° 54' 16.7""",379
9 G. Eri,01h 56m 09.40s,"?49° 50' 11.3""",635
65 G. Eri,03h 10m 35.35s,"?23° 44' 19.0""",274
,03h 56m 27.66s,"?13° 35' 51.1""",4025
246 G. Eri,04h 34m 38.13s,"?24° 02' 26.0""",432
218 G. Eri,04h 23m 07.76s,"?35° 32' 41.4""",840
189 G. Eri,04h 12m 00.26s,"?17° 16' 28.6""",343
188 G. Eri,04h 10m 45.89s,"?35° 16' 25.4""",1185
12 G. Eri,02h 04m 35.04s,"?54° 52' 53.9""",154
126 G. Eri,03h 44m 06.36s,"?40° 39' 36.3""",303
186 G. Eri,04h 11m 56.10s,"?08° 50' 15.0""",535
GY Eri,04h 13m 38.15s,"?01° 08' 59.0""",1399
213 G. Eri,04h 21m 37.51s,"?06° 17' 02.9""",498
27 G. Eri,02h 47m 11.14s,"?22° 29' 08.4""",125
134 G. Eri,03h 50m 16.10s,"?01° 31' 21.5""",147
166 G. Eri,04h 03m 24.75s,"?20° 08' 37.7""",956
26 G. Eri,02h 46m 45.06s,"?21° 38' 22.4""",147
105 G. Eri,03h 35m 57.25s,"?05° 07' 29.8""",780
117 G. Eri,03h 41m 13.75s,"?11° 48' 09.0""",300
55 Eri B,04h 43m 35.10s,"?08° 47' 46.0""",405
HD 19467,04h 26m 26.32s,"?10° 33' 03.0""",101
HD 28185,04h 26m 26.32s,"?10° 33' 03.0""",128
HIP 8541,01h 50m 06.0s,"?54° 27' 54""",551
HD 18015,02h 53m 27.2s,"?08° 50' 53""",
HD 18742,03h 00m 11s,"?20° 48' 09""",440
HD 30856,04h 50m 18s,"?24° 22' 08""",385
HD 13808,02h 12m 43s,"?53° 44' 38""",93
HD 25015,03h 57m 44.0s,"?20° 16' 04""",122
40 Eri B,04h 15m 29.30s,"?07° 36' 41.0""",16
WASP-99,02h 39m 35.0s,"?50° 00' 29""",
HIP 12961,02h 46m 42.89s,"?23° 05' 11.8""",78
WASP-79,04h 25m 29.0s,"?30° 36' 02""",783
WASP-117,02h 27m 06.0s,"?50° 17' 04""",
WASP-97,01h 38m 25.0s,"?55° 46' 19""",
WASP-35,05h 04m 19.63s,"?06° 13' 47.4""",663
WASP-140,01h 38m 25.0s,"?55° 46' 19""",587
WASP-50,02h 54m 45s,"?10° 53' 53""",629
WASP-22,03h 31m 16.32s,"?23° 49' 10.9""",942
WASP-78,04h 15m 02.0s,"?22° 06' 59""",1794
WASP-139,03h 18m 15.0s,"?41° 18' 08""",750
WASP-141,04h 47m 18.0s,"?17° 06' 55""",1859
HATS-5,04h 28m 54.0s,"?20° 31' 05""",838
WASP-98,03h 53m 42.0s,"?34° 19' 42""",
EF Eri,03h 14m 13.03s,"?22° 35' 41.4""",523
